	idno	fievre_idno	author-name	year	subgenre	comedie	tragedie	tragicomedie	form	tc_inspiration	tc_structure	count
tc0464	tc0464	HAREN_AGON	HAREN	1770	tragedie	other	tragedie	other	vers	Histoire hollandaise	Cinq actes	1
tc0468	tc0468	HENAULT_MARIUSACIRTE	HENAULT	1677	tragedie	other	tragedie	other	vers	histoire romaine	Cinq actes	1
tc0480	tc0480	LACALPRENEDE_COMTEDESSEX	LACALPRENEDE	1732	tragedie	other	tragedie	other	vers	histoire anglaise	Cinq actes	1
tc0482	tc0482	LACALPRENEDE_ENFANTSDHERODE	LACALPRENEDE	1639	tragedie	other	tragedie	other	vers	histoire romaine	Cinq actes	1
tc0483	tc0483	LACALPRENEDE_HERMENEGILDE	LACALPRENEDE	1732	tragedie	other	tragedie	other	prose	histoire chrétienne	Cinq actes	1
tc0484	tc0484	LACALPRENEDE_JEANNE	LACALPRENEDE	1638	tragedie	other	tragedie	other	vers	histoire anglaise	Cinq actes	1
tc0485	tc0485	LACALPRENEDE_MORTMITRHIDATE	LACALPRENEDE	1637	tragedie	other	tragedie	other	vers	histoire romaine	Cinq actes	1
tc0486	tc0486	LACALPRENEDE_PHALANTE	LACALPRENEDE	1642	tragedie	other	tragedie	other	vers	mythe grec	Cinq actes	1
tc0487	tc0487	LACHAPELLE_ZAIDE	LACHAPELLE	1681	tragedie	other	tragedie	other	vers	fiction mauresque	Cinq actes	1
tc0496	tc0496	LAFONTAINE_RAGOTIN	LAFONTAINE	1684	comedie	comedie	other	other	vers	moeurs françaises	Cinq actes	1
tc0502	tc0502	LAFOSSE_MANLIUS	LAFOSSE	1698	tragedie	other	tragedie	other	vers	histoire romaine	Cinq actes	1
tc0503	tc0503	LAGRANGECHANCEL_AMASIS	LAGRANGECHANCEL	1677	tragedie	other	tragedie	other	vers	histoire égyptienne	Cinq actes	1
tc0504	tc0504	LAGRANGECHANCEL_MELEAGRE	LAGRANGECHANCEL	1677	tragedie	other	tragedie	other	vers	mythe grec	Cinq actes	1
tc0505	tc0505	LAHARPE_COMTEDEWARWICK	LAHARPE	1733	tragedie	other	tragedie	other	vers	histoire anglaise	Cinq actes	1
tc0509	tc0509	LAHARPE_PHILOCTETE	LAHARPE	1733	tragedie	other	tragedie	other	vers	moeurs françaises	Trois actes	1
tc0510	tc0510	LAIGNELOT_AGIS	LAIGNELOT	1782	tragedie	other	tragedie	other	vers	histoire grecque	Cinq actes	1
tc0511	tc0511	LAMOTTE_INESDECASTRO	LAMOTTE	1723	tragedie	other	tragedie	other	vers	histoire portugaise	Cinq actes	1
tc0512	tc0512	LAMOTTE_MACHABEES	LAMOTTE	1722	tragedie	other	tragedie	other	vers	bible	Cinq actes	1
tc0518	tc0518	LEBOULANGERCHALUSSAY_ELOMIREHYPOCONDRE	LEBOULANGERCHALUSSAY	1670	comedie	comedie	other	other	vers	moeurs françaises	Cinq actes	1
tc0519	tc0519	LECLERC_IPHIGENIE	LECLERC	1675	tragedie	other	tragedie	other	vers	histoire grecque	Cinq actes	1
tc0520	tc0520	LEFRANC_DIDON	LEFRANC	1734	tragedie	other	tragedie	other	vers	mythe romain	Cinq actes	1
tc0521	tc0521	LEGOUVE_ATTILIE	LEGOUVE	1776	tragedie	other	tragedie	other	vers	histoire romaine	Cinq actes	1
tc0523	tc0523	LEGOUVE_LAURENCEORZANO	LEGOUVE	1784	tragedie	other	tragedie	other	vers	histoire italienne	Cinq actes	1
tc0524	tc0524	LEGOUVE_POLIXENE	LEGOUVE	1784	tragedie	other	tragedie	other	vers	mythe grec	Cinq actes	1
tc0528	tc0528	LEMIERRE_ARTAXERCE	LEMIERRE	1768	tragedie	other	tragedie	other	vers	histoire perse	Cinq actes	1
tc0529	tc0529	LEMIERRE_GUILLAUMETELL	LEMIERRE	1766	tragedie	other	tragedie	other	vers	histoire suisse	Cinq actes	1
tc0530	tc0530	LEMIERRE_VEUVEMALABAR	LEMIERRE	1770	tragedie	other	tragedie	other	vers	moeurs françaises	Cinq actes	1
tc0535	tc0535	LEVAYER_GRANDSELIM	LEVAYER	1645	tragedie	other	tragedie	other	vers	histoire ottomane	Cinq actes	1
tc0536	tc0536	LINANT_ALZAIDE	LINANT	1746	tragedie	other	tragedie	other	vers	histoire française	Cinq actes	1
tc0537	tc0537	LONGEPIERRE_MEDEE	LONGEPIERRE	1694	tragedie	other	tragedie	other	vers	mythe grec	Cinq actes	1
tc0538	tc0538	MAGNON_ARTAXERXE	MAGNON	1645	tragedie	other	tragedie	other	vers	histoire perse	Cinq actes	1
tc0541	tc0541	MAGNON_SEJANUS	MAGNON	1645	tragedie	other	tragedie	other	vers	histoire romaine	Cinq actes	1
tc0542	tc0542	MAGNON_TAMERLAN	MAGNON	1645	tragedie	other	tragedie	other	vers	histoire perse	Cinq actes	1
tc0544	tc0544	MAIRET_SOPHONISBE	MAIRET	1635	tragedie	other	tragedie	other	vers	histoire romaine	Cinq actes	1
tc0548	tc0548	MARECHALA_RAILLEUR	MARECHALA	1638	comedie	comedie	other	other	vers	moeurs françaises	Cinq actes	1
tc0553	tc0553	MARIVAUX_ANNIBAL	MARIVAUX	1720	tragedie	other	tragedie	other	vers	histoire romaine	Cinq actes	1
tc0559	tc0559	MARIVAUX_DOUBLEINCONSTANCE	MARIVAUX	1724	comedie	comedie	other	other	prose	moeurs françaises	Trois actes	1
tc0562	tc0562	MARIVAUX_FAUSSESCONFIDENCES	MARIVAUX	1737	comedie	comedie	other	other	prose	moeurs françaises	Trois actes	1
tc0563	tc0563	MARIVAUX_FAUSSESUIVANTE	MARIVAUX	1729	comedie	comedie	other	other	prose	moeurs françaises	Trois actes	1
tc0567	tc0567	MARIVAUX_HEUREUXSTRATAGEME	MARIVAUX	1733	comedie	comedie	other	other	prose	moeurs françaises	Trois actes	1
tc0570	tc0570	MARIVAUX_JEUDELAMOURETDUHASARD	MARIVAUX	1730	comedie	comedie	other	other	prose	moeurs françaises	Trois actes	1
tc0571	tc0571	MARIVAUX_JOIEIMPREVUE	MARIVAUX	1738	comedie	comedie	other	other	prose	moeurs françaises	Trois actes	1
tc0574	tc0574	MARIVAUX_MERECONFIDENTE	MARIVAUX	1735	comedie	comedie	other	other	prose	moeurs françaises	Trois actes	1
tc0576	tc0576	MARIVAUX_PETITMAITRECORRIGE	MARIVAUX	1734	comedie	comedie	other	other	prose	moeurs françaises	Trois actes	1
tc0578	tc0578	MARIVAUX_PRINCETRAVESTI	MARIVAUX	1727	comedie	comedie	other	other	prose	moeurs françaises	Trois actes	1
tc0581	tc0581	MARIVAUX_SECONDESURPRISEDELAMOUR	MARIVAUX	1728	comedie	comedie	other	other	prose	moeurs françaises	Trois actes	1
tc0582	tc0582	MARIVAUX_SERMENTSINDISCRETS	MARIVAUX	1732	comedie	comedie	other	other	prose	moeurs françaises	Cinq actes	1
tc0584	tc0584	MARIVAUX_SURPRISEDELAMOUR	MARIVAUX	1723	comedie	comedie	other	other	prose	moeurs françaises	Trois actes	1
tc0585	tc0585	MARIVAUX_TRIOMPHEDELAMOUR	MARIVAUX	1732	comedie	comedie	other	other	prose	moeurs françaises	Trois actes	1
tc0595	tc0595	MOLIERE_AMANTSMAGNIFIQUES	MOLIERE	1670	comedie	comedie	other	other	mixte	moeurs françaises	Cinq actes	1
tc0596	tc0596	MOLIERE_AMOURMEDECIN	MOLIERE	1665	comedie	comedie	other	other	prose	moeurs françaises	Trois actes	1
tc0598	tc0598	MOLIERE_AVARE	MOLIERE	1669	comedie	comedie	other	other	prose	moeurs françaises	Cinq actes	1
tc0602	tc0602	MOLIERE_DEPITAMOUREUX	MOLIERE	1656	comedie	comedie	other	other	vers	moeurs françaises	Cinq actes	1
tc0604	tc0604	MOLIERE_DOMGARCIEDENAVARRE	MOLIERE	1682	comedie	comedie	other	other	vers	moeurs espagnoles	Cinq actes	1
tc0605	tc0605	MOLIERE_DOMJUAN	MOLIERE	1682	comedie	comedie	other	other	prose	moeurs italiennes	Cinq actes	1
tc0606	tc0606	MOLIERE_ECOLEDESFEMMES	MOLIERE	1662	comedie	comedie	other	other	vers	moeurs françaises	Cinq actes	1
tc0607	tc0607	MOLIERE_ECOLEDESMARIS	MOLIERE	1661	comedie	comedie	other	other	vers	moeurs françaises	Trois actes	1
tc0608	tc0608	MOLIERE_ETOURDI	MOLIERE	1655	comedie	comedie	other	other	vers	moeurs françaises	Cinq actes	1
tc0610	tc0610	MOLIERE_FEMMESSAVANTES	MOLIERE	1672	comedie	comedie	other	other	vers	moeurs françaises	Cinq actes	1
tc0611	tc0611	MOLIERE_FESTINDEPIERRE	MOLIERE	1665	comedie	comedie	other	other	prose	moeurs italiennes	Cinq actes	1
tc0612	tc0612	MOLIERE_FOURBERIESDESCAPIN	MOLIERE	1671	comedie	comedie	other	other	prose	moeurs françaises	Trois actes	1
tc0613	tc0613	MOLIERE_GEORGEDANDIN	MOLIERE	1669	comedie	comedie	other	other	prose	moeurs françaises	Trois actes	1
tc0621	tc0621	MOLIERE_MISANTHROPE	MOLIERE	1666	comedie	comedie	other	other	vers	moeurs françaises	Cinq actes	1
tc0628	tc0628	MOLIERE_TARTUFFE	MOLIERE	1669	comedie	comedie	other	other	vers	moeurs françaises	Cinq actes	1
tc0636	tc0636	NADAL_ANTIOCHUS	NADAL	1723	tragedie	other	tragedie	other	vers	bible	Cinq actes	1
tc0637	tc0637	NADAL_HERODE	NADAL	1709	tragedie	other	tragedie	other	vers	bible	Cinq actes	1
tc0638	tc0638	NADAL_MARIAMNE	NADAL	1725	tragedie	other	tragedie	other	vers	bible	Cinq actes	1
tc0639	tc0639	NADAL_OSARPHISMOISE	NADAL	1738	tragedie	other	tragedie	other	vers	bible	Cinq actes	1
tc0641	tc0641	NADAL_SAUL	NADAL	1731	tragedie	other	tragedie	other	vers	bible	Cinq actes	1
tc0642	tc0642	NERICAULT_GLORIEUX	NERICAULT	1732	comedie	comedie	other	other	vers	moeurs françaises	Cinq actes	1
tc0643	tc0643	NIVELLE_ECOLEDESAMIS	NIVELLE	1747	comedie	comedie	other	other	vers	moeurs françaises	Cinq actes	1
tc0644	tc0644	NIVELLE_ECOLEMERES	NIVELLE	1745	comedie	comedie	other	other	vers	moeurs françaises	Cinq actes	1
tc0646	tc0646	NIVELLE_GOUVERNANTE	NIVELLE	1747	comedie	comedie	other	other	vers	moeurs françaises	Cinq actes	1
tc0647	tc0647	NIVELLE_PREJUGEALAMODE	NIVELLE	1735	comedie	comedie	other	other	vers	moeurs françaises	Cinq actes	1
tc0648	tc0648	OUVILLE_ABSENTCHEZSOI	OUVILLE	1643	comedie	comedie	other	other	vers	moeurs françaises	Cinq actes	1
tc0649	tc0649	OUVILLE_FAUSSESVERITES	OUVILLE	1643	comedie	comedie	other	other	vers	moeurs françaises	Cinq actes	1
tc0650	tc0650	OUVILLE_SOUPCONS	OUVILLE	1650	comedie	comedie	other	other	vers	moeurs françaises	Cinq actes	1
tc0657	tc0657	PALISSOT_NINUS	PALISSOT	1751	tragedie	other	tragedie	other	vers	histoire orientale	Cinq actes	1
tc0658	tc0658	PALISSOT_PHILOSOPHES	PALISSOT	1760	comedie	comedie	other	other	vers	moeurs françaises	Trois actes	1
tc0662	tc0662	PELLEGRIN_TIBERE	PELLEGRIN	1727	tragedie	other	tragedie	other	vers	histoire romaine	Cinq actes	1
tc0664	tc0664	PESSELIER_ESOPEAUPARNASSE	PESSELIER	1740	comedie	comedie	other	other	vers	moeurs françaises	Trois actes	1
tc0665	tc0665	PIRON_ARLEQUINDECALION	PIRON	1722	comedie	comedie	other	other	mixte	mythe grec	Trois actes	1
tc0666	tc0666	PIRON_ECOLEPERES	PIRON	1728	comedie	comedie	other	other	vers	moeurs françaises	Cinq actes	1
tc0668	tc0668	PIRON_GUSTAVEWASA	PIRON	1733	tragedie	other	tragedie	other	vers	histoire suédoise	Cinq actes	1
tc0669	tc0669	PIRON_METROMANIE	PIRON	1738	comedie	comedie	other	other	vers	moeurs françaises	Cinq actes	1
tc0675	tc0675	POINSINET_AJAX	POINSINET	1755	tragedie	other	tragedie	other	vers	mythe grec	Cinq actes	1
tc0684	tc0684	PRADE_ARSACE	PRADE	1666	tragedie	other	tragedie	other	vers	histoire antique	Cinq actes	1
tc0685	tc0685	PRADON_MORTDEBAJAZET	PRADON	1676	tragedie	other	tragedie	other	vers	histoire ottomane	Cinq actes	1
tc0686	tc0686	PRADON_PHEDRE	PRADON	1677	tragedie	other	tragedie	other	vers	mythe grec	Cinq actes	1
tc0687	tc0687	PRADON_REGULUS	PRADON	1687	tragedie	other	tragedie	other	vers	histoire romaine	Cinq actes	1
tc0688	tc0688	PRADON_SCIPION	PRADON	1697	tragedie	other	tragedie	other	vers	histoire romaine	Cinq actes	1
tc0689	tc0689	PRADON_STATIRA	PRADON	1677	tragedie	other	tragedie	other	vers	histoire antique	Cinq actes	1
tc0690	tc0690	PUGETDELASERRE_SACDECARTHAGE	PUGETDELASERRE	1642	tragedie	other	tragedie	other	prose	histoire romaine	Cinq actes	1
tc0694	tc0694	QUINAULT_BELLEROPHON	QUINAULT	1671	tragedie	other	tragedie	other	vers	mythe grec	Cinq actes	1
tc0700	tc0700	QUINAULT_MERECOQUETTE	QUINAULT	1665	comedie	comedie	other	other	vers	moeurs françaises	Cinq actes	1
tc0707	tc0707	RACINE_ALEXANDRE66	RACINE	1665	tragedie	other	tragedie	other	vers	histoire grecque	Cinq actes	1
tc0708	tc0708	RACINE_ANDROMAQUE	RACINE	1697	tragedie	other	tragedie	other	vers	mythe grec	Cinq actes	1
tc0710	tc0710	RACINE_ATHALIE	RACINE	1691	tragedie	other	tragedie	other	vers	bible	Cinq actes	1
tc0711	tc0711	RACINE_BAJAZET	RACINE	1672	tragedie	other	tragedie	other	vers	histoire orientale	Cinq actes	1
tc0712	tc0712	RACINE_BERENICE	RACINE	1671	tragedie	other	tragedie	other	vers	histoire romaine	Cinq actes	1
tc0713	tc0713	RACINE_BRITANNICUS	RACINE	1670	tragedie	other	tragedie	other	vers	histoire romaine	Cinq actes	1
tc0715	tc0715	RACINE_IPHIGENIE	RACINE	1674	tragedie	other	tragedie	other	vers	mythe grec	Cinq actes	1
tc0716	tc0716	RACINE_MITHRIDATE	RACINE	1673	tragedie	other	tragedie	other	vers	histoire romaine	Cinq actes	1
tc0718	tc0718	RACINE_PHEDRE77	RACINE	1677	tragedie	other	tragedie	other	vers	mythe grec	Cinq actes	1
tc0720	tc0720	RACINE_PLAIDEURS69	RACINE	1669	comedie	comedie	other	other	vers	moeurs françaises	Trois actes	1
tc0722	tc0722	RACINE_THEBAIDE64	RACINE	1664	tragedie	other	tragedie	other	vers	mythe grec	Cinq actes	1
tc0723	tc0723	REGNARD_ARLEQUINAUXENFERS	REGNARD	1689	comedie	comedie	other	other	prose	mythe grec	Trois actes	1
tc0724	tc0724	REGNARD_ARLEQUINBONNESFORTUNES	REGNARD	1690	comedie	comedie	other	other	prose	moeurs françaises	Trois actes	1
tc0728	tc0728	REGNARD_COQUETTE	REGNARD	1692	comedie	comedie	other	other	mixte	moeurs françaises	Cinq actes	1
tc0729	tc0729	REGNARD_DEMOCRITE	REGNARD	1692	comedie	comedie	other	other	vers	moeurs antiques	Cinq actes	1
tc0730	tc0730	REGNARD_DISTRAIT	REGNARD	1697	comedie	comedie	other	other	vers	moeurs françaises	Cinq actes	1
tc0731	tc0731	REGNARD_DIVORCE	REGNARD	1697	comedie	comedie	other	other	prose	moeurs françaises	Trois actes	1
tc0732	tc0732	REGNARD_FILLESERRANTES	REGNARD	1692	comedie	comedie	other	other	prose	moeurs françaises	Trois actes	1
tc0735	tc0735	REGNARD_JOUEUR	REGNARD	1692	comedie	comedie	other	other	vers	moeurs françaises	Cinq actes	1
tc0736	tc0736	REGNARD_LEGATAIRE	REGNARD	1697	comedie	comedie	other	other	vers	moeurs françaises	Cinq actes	1
tc0738	tc0738	REGNARD_MENECHMES	REGNARD	1692	comedie	comedie	other	other	vers	moeurs françaises	Cinq actes	1
tc0740	tc0740	REGNARD_SAPOR	REGNARD	1697	tragedie	other	tragedie	other	vers	histoire romaine	Cinq actes	1
tc0755	tc0755	ROTROU_ANTIGONE	ROTROU	1638	tragedie	other	tragedie	other	vers	pastorale	Cinq actes	1
tc0757	tc0757	ROTROU_COSROES	ROTROU	1649	tragedie	other	tragedie	other	vers	histoire orientale	Cinq actes	1
tc0759	tc0759	ROTROU_HERCULEMOURANT	ROTROU	1636	tragedie	other	tragedie	other	vers	mythe grec	Cinq actes	1
tc0760	tc0760	ROTROU_SAINTGENEST	ROTROU	1648	tragedie	other	tragedie	other	vers	histoire romaine	Cinq actes	1
tc0761	tc0761	ROTROU_SOSIES	ROTROU	1648	comedie	comedie	other	other	vers	mythe grec	Cinq actes	1
tc0779	tc0779	SAINTEVREMOND_COMEDIEDESACADEMICIENS	SAINTEVREMOND	1650	comedie	comedie	other	other	vers	moeurs françaises	Trois actes	1
tc0782	tc0782	SAURIN_BLANCHEETGUISCARD	SAURIN	1763	tragedie	other	tragedie	other	vers	histoire italienne	Cinq actes	1
tc0784	tc0784	SAURIN_SPARTACUS	SAURIN	1760	tragedie	other	tragedie	other	vers	histoire romaine	Cinq actes	1
tc0786	tc0786	SCARRON_DOMJAPHETDARMENIE	SCARRON	1653	comedie	comedie	other	other	vers	moeurs françaises	Cinq actes	1
tc0789	tc0789	SCARRON_GARDIENDESOIMEME	SCARRON	1654	comedie	comedie	other	other	vers	moeurs italiennes	Cinq actes	1
tc0790	tc0790	SCARRON_HERITIERRIDICULE	SCARRON	1650	comedie	comedie	other	other	vers	moeurs espagnoles	Cinq actes	1
tc0791	tc0791	SCARRON_JODELET	SCARRON	1648	comedie	comedie	other	other	vers	moeurs françaises	Cinq actes	1
tc0792	tc0792	SCARRON_JODELETDUELISTE	SCARRON	1646	comedie	comedie	other	other	vers	moeurs françaises	Cinq actes	1
tc0793	tc0793	SCARRON_PRINCECORSAIRE	SCARRON	1650	comedie	comedie	other	other	vers	moeurs chypriotes	Cinq actes	1
tc0795	tc0795	SCUDERY_ARMINIUS	SCUDERY	1644	tragedie	other	tragedie	other	vers	histoire romaine	Cinq actes	1
tc0796	tc0796	SCUDERY_COMEDIEDESCOMEDIENS	SCUDERY	1635	comedie	comedie	other	other	mixte	moeurs françaises	Trois actes	1
tc0798	tc0798	SCUDERY_FILSSUPPOSE	SCUDERY	1636	comedie	comedie	other	other	vers	moeurs françaises	Cinq actes	1
tc0805	tc0805	SEDAINE_RICHARD	SEDAINE	1784	comedie	comedie	other	other	mixte	histoire mediévale	Trois actes	1
tc0812	tc0812	SOMMERIVE_BAJAZET	SOMMERIVE	1741	tragedie	other	tragedie	other	vers	histoire ottomane	Cinq actes	1
tc0823	tc0823	TANEVOT_ADAMETEVE	TANEVOT	1752	tragedie	other	tragedie	other	vers	bible	Cinq actes	1
tc0824	tc0824	THIBOUVILLE_THELAMIRE	THIBOUVILLE	1677	tragedie	other	tragedie	other	vers	mythe grec	Cinq actes	1
tc0825	tc0825	TRISTAN_MARIANE	TRISTAN	1644	tragedie	other	tragedie	other	vers	bible	Cinq actes	1
tc0826	tc0826	TRISTAN_MORTDECHRISPE	TRISTAN	1644	tragedie	other	tragedie	other	vers	bible	Cinq actes	1
tc0827	tc0827	TRISTAN_MORTSENEQUE	TRISTAN	1645	tragedie	other	tragedie	other	vers	histoire romaine	Cinq actes	1
tc0828	tc0828	TRISTAN_OSMAN	TRISTAN	1656	tragedie	other	tragedie	other	vers	histoire ottomane	Cinq actes	1
tc0829	tc0829	TRISTAN_PARASITE	TRISTAN	1654	comedie	comedie	other	other	vers	moeurs françaises	Cinq actes	1
tc0838	tc0838	VOLTAIRE_ADELAIDE	VOLTAIRE	1734	tragedie	other	tragedie	other	vers	histoire française	Cinq actes	1
tc0839	tc0839	VOLTAIRE_AGATHOCLE	VOLTAIRE	1779	tragedie	other	tragedie	other	vers	histoire grecque	Cinq actes	1
tc0840	tc0840	VOLTAIRE_ALZIRE	VOLTAIRE	1732	tragedie	other	tragedie	other	vers	histoire espagnole	Cinq actes	1
tc0842	tc0842	VOLTAIRE_BRUTUS	VOLTAIRE	1730	tragedie	other	tragedie	other	vers	histoire romaine	Cinq actes	1
tc0844	tc0844	VOLTAIRE_DEPOSITAIRE	VOLTAIRE	1738	comedie	comedie	other	other	vers	moeurs françaises	Cinq actes	1
tc0846	tc0846	VOLTAIRE_DROITDUSEIGNEUR	VOLTAIRE	1763	comedie	comedie	other	other	vers	moeurs françaises	Trois actes	1
tc0847	tc0847	VOLTAIRE_DUCDALENCON	VOLTAIRE	1751	tragedie	other	tragedie	other	vers	histoire française	Trois actes	1
tc0848	tc0848	VOLTAIRE_ENFANTPRODIGUE	VOLTAIRE	1738	comedie	comedie	other	other	vers	moeurs françaises	Cinq actes	1
tc0849	tc0849	VOLTAIRE_ENVIEUX	VOLTAIRE	1738	comedie	comedie	other	other	vers	histoire romaine	Trois actes	1
tc0850	tc0850	VOLTAIRE_FANATISME	VOLTAIRE	1753	tragedie	other	tragedie	other	vers	histoire arabe	Cinq actes	1
tc0851	tc0851	VOLTAIRE_FEMMEQUIARAISON	VOLTAIRE	1759	comedie	comedie	other	other	vers	moeurs françaises	Trois actes	1
tc0852	tc0852	VOLTAIRE_GUEBRES	VOLTAIRE	1769	tragedie	other	tragedie	other	vers	histoire romaine	Cinq actes	1
tc0854	tc0854	VOLTAIRE_IRENE	VOLTAIRE	1778	tragedie	other	tragedie	other	vers	histoire romaine	Cinq actes	1
tc0855	tc0855	VOLTAIRE_LOISDEMINOS	VOLTAIRE	1773	tragedie	other	tragedie	other	vers	mythe grec	Cinq actes	1
tc0856	tc0856	VOLTAIRE_MARIAMNE	VOLTAIRE	1751	tragedie	other	tragedie	other	vers	histoire juive	Cinq actes	1
tc0857	tc0857	VOLTAIRE_MEROPE	VOLTAIRE	1744	tragedie	other	tragedie	other	vers	histoire romaine	Cinq actes	1
tc0858	tc0858	VOLTAIRE_MORTDECESAR	VOLTAIRE	1743	tragedie	other	tragedie	other	vers	histoire romaine	Trois actes	1
tc0859	tc0859	VOLTAIRE_NANINE	VOLTAIRE	1749	comedie	comedie	other	other	vers	moeurs françaises	Trois actes	1
tc0860	tc0860	VOLTAIRE_OEDIPE_V	VOLTAIRE	1718	tragedie	other	tragedie	other	vers	mythe grec	Cinq actes	1
tc0861	tc0861	VOLTAIRE_OLYMPIE	VOLTAIRE	1751	tragedie	other	tragedie	other	vers	histoire grecque	Cinq actes	1
tc0863	tc0863	VOLTAIRE_ORIGINAUX	VOLTAIRE	1732	comedie	comedie	other	other	prose	moeurs françaises	Trois actes	1
tc0864	tc0864	VOLTAIRE_ORPHELINDELACHINE	VOLTAIRE	1755	tragedie	other	tragedie	other	vers	histoire chinoise	Cinq actes	1
tc0866	tc0866	VOLTAIRE_PELOPIDES	VOLTAIRE	1743	tragedie	other	tragedie	other	vers	mythe grec	Cinq actes	1
tc0867	tc0867	VOLTAIRE_ROMESAUVEE	VOLTAIRE	1750	tragedie	other	tragedie	other	vers	histoire romaine	Cinq actes	1
tc0870	tc0870	VOLTAIRE_SCYTHES	VOLTAIRE	1757	tragedie	other	tragedie	other	vers	histoire orientale	Cinq actes	1
tc0871	tc0871	VOLTAIRE_SEMIRAMIS	VOLTAIRE	1749	tragedie	other	tragedie	other	vers	histoire romaine	Cinq actes	1
tc0872	tc0872	VOLTAIRE_SOCRATE	VOLTAIRE	1759	tragedie	other	tragedie	other	prose	histoire grecque	Cinq actes	1
tc0873	tc0873	VOLTAIRE_SOPHONISBE	VOLTAIRE	1774	tragedie	other	tragedie	other	vers	histoire romaine	Cinq actes	1
tc0874	tc0874	VOLTAIRE_TANCREDE	VOLTAIRE	1771	tragedie	other	tragedie	other	vers	histoire médiévale	Cinq actes	1
tc0876	tc0876	VOLTAIRE_ZAIRE	VOLTAIRE	1718	tragedie	other	tragedie	other	vers	mythe grec	Cinq actes	1
